"Sector","benthic_code","recent_cover","sd","years"
"Kilifi","HC",27.65,11.1396139969031,2012
"Kilifi","HC",31.35,9.12156784768934,2013
"Kilifi","HC",13.368,10.7782023414986,2014
"Kilifi","HC",23.8666666666667,11.5685997424062,2015
"Kilifi","HC",26.394,11.0415071435017,2016
"Kilifi","HC",21.2825,9.10785022462962,2017
"Kwale","HC",32.9875,14.3903179256054,2011
"Kwale","HC",30.8178571428571,14.1153163830432,2012
"Kwale","HC",28.85,11.667261889578,2013
"Kwale","HC",26.9466666666667,11.783454906088,2014
"Kwale","HC",50.2325,21.8717723333067,2016
"Kwale","HC",20.3042857142857,13.3563279099495,2017
"Lamu","HC",15.4142857142857,10.7580091980237,2007
"Lamu","HC",18.9571428571429,17.2608366980423,2008
"Lamu","HC",22.3611111111111,15.2242359779107,2014
"Lamu","HC",16.78,9.0706670096526,2015
"Lamu","HC",54.54,21.247658694548,2016
"Lamu","HC",18.995,2.83549819255806,2017
"Mombasa","HC",26,7.40495329717436,2010
"Mombasa","HC",24.9,9.36055553906925,2011
"Mombasa","HC",23.35,11.5488816197356,2012
"Mombasa","HC",28.85,2.62488094968134,2013
"Mombasa","HC",11.3,NA,2015
"Mombasa","HC",25.895,9.12559952368428,2016
