rgn_name,m_cover,year
Kilifi,30015573,2008
Kwale,52982448,2008
Lamu,133710770,2008
Mombasa,8383643,2008
Tana River,3863642,2008
Kilifi,29967851,2009
Kwale,52915972,2009
Lamu,133569938,2009
Mombasa,8376901,2009
Tana River,3854796,2009
Kilifi,29933184,2010
Kwale,52914057,2010
Lamu,133566511,2010
Mombasa,8375777,2010
Tana River,3853022,2010
Kilifi,29933098,2011
Kwale,52912458,2011
Lamu,133566511,2011
Mombasa,8373815,2011
Tana River,3853022,2011
Kilifi,29924179,2012
Kwale,52911097,2012
Lamu,133562903,2012
Mombasa,8372787,2012
Tana River,3853022,2012
