Year,Lamu,Tana river,Kilifi,Mombasa,Kwale,species
2002,0,0,89.603,141.68,76.461,Rastrelliger_kanarguta
2003,0,0,53.493,21.839,140.371,Rastrelliger_kanarguta
2004,0,0,33.668,15.014,127.288,Rastrelliger_kanarguta
2005,9.07,0,10.674,12.018,83.994,Rastrelliger_kanarguta
2006,1.99,3.691,18.473,36.482,88.896,Rastrelliger_kanarguta
2007,0,5.665,37.66,23.027,147.534,Rastrelliger_kanarguta
2008,9.482,0,5.986,44.675,94.58,Rastrelliger_kanarguta
2009,0,0,62.912,44.675,7.057,Rastrelliger_kanarguta
2010,0,3,191,54,172,Rastrelliger_kanarguta
2011,0,10.891,184.133,30.514,113.531,Rastrelliger_kanarguta
2012,0,21,112,34,162,Rastrelliger_kanarguta
2013,0,11,179,29,110,Rastrelliger_kanarguta
2014,0,3,204,57,184,Rastrelliger_kanarguta
2015,0,1,300,20,113,Rastrelliger_kanarguta
2016,9,2,300,9,110,Rastrelliger_kanarguta
2002,13.95,0.822,32.001,104.97,30.237,Sphyraena_sp
2003,21.9,1.188,25.19,15.053,93.953,Sphyraena_sp
2004,19.893,1.413,10.913,12.094,74.022,Sphyraena_sp
2005,23.732,1.214,21.81,10.812,97.776,Sphyraena_sp
2006,40.854,0,23.056,22.928,157.788,Sphyraena_sp
2007,52.945,0,56.663,45.876,100.49,Sphyraena_sp
2008,46.745,1.51,53.583,52.652,159.362,Sphyraena_sp
2009,50.629,2.18,31.83,52.652,10.187,Sphyraena_sp
2010,59,3,65,59,94,Sphyraena_sp
2011,69.416,20.672,121.196,48.791,67.398,Sphyraena_sp
2012,63,23,71,30,74,Sphyraena_sp
2013,67,20,117,47,65,Sphyraena_sp
2014,63,4,70,64,101,Sphyraena_sp
2015,16,0,416,32,265,Sphyraena_sp
2016,36.594,7.38,440.715,16.16,207.771,Sphyraena_sp
2002,57.02,9.23,33.727,2.041,17.218,Panulirus_sp
2003,78.884,44.139,22.737,2.57,21.092,Panulirus_sp
2004,59.82,51.995,20.931,4.338,19.776,Panulirus_sp
2005,44.537,6.737,24.564,1.46,15.757,Panulirus_sp
2006,41.785,0.444,14.595,2.958,19.554,Panulirus_sp
2007,44.953,6.208,15.816,6.352,19.766,Panulirus_sp
2008,62.837,5.879,10.536,8.208,26.315,Panulirus_sp
2009,36.741,3.283,0.456,8.208,2.21,Panulirus_sp
2010,36,8,10,13,33,Panulirus_sp
2011,45.113,4.5,12.237,7.385,23.826,Panulirus_sp
2012,32,7,30,2,25,Panulirus_sp
2013,60,6,16,10,32,Panulirus_sp
2014,39,8,11,14,35,Panulirus_sp
2015,157,0,70,11,26,Panulirus_sp
2016,286.242,0.592,54.672,4.174,44.222,Panulirus_sp
2002,15.665,28.276,40.811,476.376,14.488,Peneius_indicus
2003,12.974,31.197,30.202,292.46,16.8,Peneius_indicus
2004,19.584,32.168,39.189,46.075,18.914,Peneius_indicus
2005,18.935,8.779,39.919,68.401,21.431,Peneius_indicus
2006,11.761,21.101,50.859,84.996,22.975,Peneius_indicus
2007,11.929,27.18,68.962,171.333,33.952,Peneius_indicus
2008,14.204,18.574,37.683,83.364,23.417,Peneius_indicus
2009,11.546,10.245,0.545,83.364,2.503,Peneius_indicus
2010,45,40,25,119,22,Peneius_indicus
2011,13.975,45.677,33.047,156.454,25.798,Peneius_indicus
2012,13,120,75,174,26,Peneius_indicus
2013,19,61,44,208,34,Peneius_indicus
2014,48,43,26,128,24,Peneius_indicus
2015,4,119,6,15,0,Peneius_indicus
2016,0.008,174.533,8.7,19.895,16.699,Peneius_indicus
2002,167.757,1.993,55.785,18.968,124.238,Siganus_sutor
2003,182.269,3.535,80.078,29.993,85.724,Siganus_sutor
2004,182.267,3.37,63.301,32.082,72.629,Siganus_sutor
2005,244.955,2.957,70.943,3.869,55.567,Siganus_sutor
2006,245.549,6.572,54.445,37.344,68.219,Siganus_sutor
2007,210.577,0.249,88.527,59.483,72.762,Siganus_sutor
2008,234.82,1.541,68.398,69.981,93.615,Siganus_sutor
2009,226.745,1.506,32.961,63.981,9.342,Siganus_sutor
2010,310,5,113,84,165,Siganus_sutor
2011,337.982,26.637,161.562,108.066,157.091,Siganus_sutor
2012,270,20,115,98,143,Siganus_sutor
2013,339,27,162,108,158,Siganus_sutor
2014,331,5,121,89,176,Siganus_sutor
2015,475,0,343,235,434,Siganus_sutor
2016,831.441,94,537.523,438.678,486.186,Siganus_sutor
2002,7.882,0.386,31.02,1.128,14.198,Istiophurus_sp
2003,6.7,1.304,32.82,0.26,3.596,Istiophurus_sp
2004,4.065,0.486,47.229,0.562,17.587,Istiophurus_sp
2005,6.502,0.967,51.5495,1.798,17.228,Istiophurus_sp
2006,3.264,5.748,34.427,0.82,103.66,Istiophurus_sp
2007,2.773,8.085,33.326,0.667,46.443,Istiophurus_sp
2008,5.093,0.406,36.138,23.004,37.586,Istiophurus_sp
2009,8.51,0.709,30.889,23.004,5.228,Istiophurus_sp
2010,8,2,119,27,10,Istiophurus_sp
2011,5.674,3.35,90.453,30.459,15.404,Istiophurus_sp
2012,8,16,68,38,12,Istiophurus_sp
2013,6,3,88,29,15,Istiophurus_sp
2014,8,3,127,28,10,Istiophurus_sp
2015,0,0,375,5,22,Istiophurus_sp
2016,2.143,0.226,222.071,4.082,6.607,Istiophurus_sp
