"Fishing_Zone","Vessel_Name","Year","total_minutes","total_hours","total_fishing_days"
"Malindi Bay","Trawler I","2016",82619,1377,76
"Malindi Bay","Trawler II","2016",116880,1948,105
"Malindi Bay","Trawler III","2016",20424,340.4,45
"Malindi Bay","Trawler I","2017",77576,1292.9,129
"Malindi Bay","Trawler II","2017",62715,1045.2,106
"Malindi Bay","Trawler III","2017",13551,225.8,23
"Ungwana Bay","Trawler I","2016",54405,906.8,53
"Ungwana Bay","Trawler II","2016",70372,1172.9,64
"Ungwana Bay","Trawler III","2016",84370,1406.2,134
"Ungwana Bay","Trawler I","2017",23438,390.6,38
"Ungwana Bay","Trawler II","2017",33530,558.8,55
"Ungwana Bay","Trawler III","2017",42279,704.6,62
"Ungwana Bay","Trawler II","2018",120,2,1
