rgn_id,habitat,year,trend
1,mangrove,2012,-5.86e-4
1,mangrove,2013,-7.38e-4
1,mangrove,2014,-6.73e-4
1,mangrove,2015,-5.86e-4
2,mangrove,2012,-5.86e-4
2,mangrove,2013,-7.38e-4
2,mangrove,2014,-6.73e-4
2,mangrove,2015,-5.86e-4
3,mangrove,2012,-5.86e-4
3,mangrove,2013,-7.38e-4
3,mangrove,2014,-6.73e-4
3,mangrove,2015,-5.86e-4
4,mangrove,2012,-5.86e-4
4,mangrove,2013,-7.38e-4
4,mangrove,2014,-6.73e-4
4,mangrove,2015,-5.86e-4
5,mangrove,2012,-5.86e-4
5,mangrove,2013,-7.38e-4
5,mangrove,2014,-6.73e-4
5,mangrove,2015,-5.86e-4
6,mangrove,2012,-5.86e-4
6,mangrove,2013,-7.38e-4
6,mangrove,2014,-6.73e-4
6,mangrove,2015,-5.86e-4
